,,เลนส์เว้า ความยาวโฟกัส -200 มิลลิเมตร (Lens, mounted -200mm),,3,500,,1,
,"เลนส์นูนความยาวโฟกัส +20 มิลลิเมตร  (Lens, mounted +20mm)",,"4,500",,1,
,"เลนส์นูนความยาวโฟกัส +50 มิลลิเมตร (Lens, mounted +50mm)",,"3,500",,1,
,"เลนส์นูนความยาวโฟกัส +100 มิลลิเมตร (Lens, mounted +100mm)",,"3,500",,1,
,"เลนส์นูนความยาวโฟกัส +200 มิลลิเมตร(Lens, mounted +200mm)",,"8,000",,1,
,"เลนส์นูนความยาวโฟกัส +300 มิลลิเมตร (Lens, mounted +300mm)",,"35,000",,1,
,"ฟิลเตอร์กรองแสงสี ช่วงความยาวคลื่น 366, 405 นาโนเมตร (Interference filters, set of 2)",,"83,000",,1,
,"ฟิลเตอร์กรองแสงสี ช่วงความยาวคลื่น 436 นาโนเมตร  (Interference filters, set of 3)",,"35,000",,1,
,"ฟิลเตอร์กรองแสงสี ช่วงความยาวคลื่น 546 นาโนเมตร  (Interference filters, set of 3)",,"35,000",,1,
,"ฟิลเตอร์กรองแสงสี ช่วงความยาวคลื่น 578 นาโนเมตร  (Interference filters, set of 3)",,"45,000",,1,
,"หัววัดสนามแม่เหล็กแนวขนานแกน (Hall probe, axial)",,"19,500",,1,
,"หัววัดสนามแม่เหล็กแนวตั้งฉากแกน (Hall probe, tangential)",,"19,500",,1,
,หลอดไฟสำหรับชุดทดลองสเตฟาน - โบลซ์มาน (Filament lamps 6V/5A),,950,,1,
,"หัววัดการแผ่รังสีความร้อนแบบ (Thermopile , Moll type)",,"30,000",,1,
,เกรตติ้ง 600 เส้น (Diffraction Grating 600 lines/mm.),,"5,600",,1,
,"หลอดสเปคตรัมปรอท สำหรับชุดทดลองอนุกรมบาลเมอร์ (Spectral tube, Hg)",,"12,500",,1,
,"หลอดสเปคตรัมไฮโดรเจน สำหรับชุดทดลองอนุกรมบาลเมอร์  (Spectral tube, He)",,"12,500",,1,
,หัววัดอุณหภูมิ PT100  แบบจุ่มสำหรับชุดทดลองกฏของบอยล์ (Thermoter PT 100),,"19,900",,1,
,ชุดโฟโตเกทสำหรับชุดทดลองกฏการเคลื่อนที่ของนิวตัน (Photogate),,"9,700",,1,
,ปีกจำลองเครื่องบินสำหรับชุดทดลองอากาศพลศาสตร์ในอุโมงค์ลม,,"30,000",,1,
,"ลูกตุ้มเพนดูลัมเงิน (Pendulum Bob, Brass with hook)",,"1,150",,1,
,"ลูกตุ้มเพนดูลัมอะลูมิเนียม (Pendulum Bob, Aluminium with hook)",,"1,500",,1,
,"ลูกตุ้มเพนดูลัมไม้ (Pendulum Ball, Wooden with hook)",,770,,1,
,"ลูกตุ้มเพนดูลัมทองเหลือง (Pendulum Ball, Stell with hook)",,770,,1,
,"ลูกตุ้มเพนดูลัมเหล็ก (Pendulum Ball, Lead with hook)",,770,,1,
,ชุดอุปกรณ์การชนพร้อมกล่องเก็บ,,"13,500",,1,
,ไม้เมตร (ชุด 6 อัน) (meter Sticks 6 pack),,"5,600",,1,
,ลูกบอลพลาสติกสำหรับชุดทดลองการเคลื่อนที่แบบโปรเจคไตล์ (Plastic Balls),,"4,200",,1,
,รอกสำหรับชุดทดลองโต๊ะแรง (Hanger),,"3,500",,1,
,ลูกตุ้มน้ำหนักพร้อมที่ยึดสำหรับชุดทดลองโต๊ะแรง (Mass set),,"12,000",,1,
,เข็มฉีดตัวอย่าง (Syring),25 ไมโครลิตร,,,1,
,เข็มฉีดตัวอย่าง (Syring),50 ไมโครลิตร,,,1,
,Hollow cathode lamp (HPLC),,,,1,
,ควอตซ์คิวเวท (Quartz Quvette),,,,1,
,บีกเกอร์สำหรับสกัดไขมัน,150 มิลลิลิตร,,,1,
,โพรบวัดกรด-ด่าง (pH- electrode),,"8,590",Mettler,1,
,หลอดเจลดาห์ล (Kjeldhl),300 มิลลิลิตร,,,1,
,ท่อนำไอน้ำ(Vapor ducts),,,,1,
,แกนล็อคขวดตัวอย่าง(Adapters for NS flange to EL units),,,,1,
,ชุดแก้วใสตัวอย่าง (Glass Spacer),,,,1,
,บีกเกอร์สำหรับใส่ตัวอย่างวิเคราะห์เยื่อใย(Glass Container),,,,1,
,เลนส์ตากล้องจุลทรรศน์ (Eyepiece lens),5X,,,1,
,เลนส์ตากล้องจุลทรรศน์ (Eyepiece lens),10X,,,1,
,เลนส์วัตถุกล้องจุลทรรศน์ (Objective lens),4X,,,1,
,เลนส์วัตถุกล้องจุลทรรศน์ (Objective lens),10X,,,1,
,เลนส์วัตถุกล้องจุลทรรศน์ (Objective lens),40X,,,1,
,เลนส์วัตถุกล้องจุลทรรศน์ (Objective lens),100X,,,1,
,กระบอกตากล้องจุลทรรศน์ (Eyepiece),,,,1,
,ฟิวเตอร์ (NCB 110),,,,1,
