,,,,,,,
,,,,,,,
,,,,,,,
,Absolute ethyl alcohol,2.5 L,9,ขวด,chemical,1,
,Acetic acid glacial,2.5 L,10,ขวด,chemical,1,
,Acetone,2.5 L,1,ขวด,chemical,1,
,Aluminium ammonium sulphate,500 g,1,ขวด,chemical,1,
,Ammonium  carbonate,500 g,1,ขวด,chemical,1,
,Ammonium  iron  (II)  sulphate,500 g,1,ขวด,chemical,1,
,Ammonium  oxide  calcined,500 g,1,ขวด,chemical,1,
,Ammonium  dihydrogen  orthposphate,500 g,1,ขวด,chemical,1,
,Ammonium  chloride,500 g,1,ขวด,chemical,1,
,Ammonium  acetate,500 g,1,ขวด,chemical,1,
,Ammonium  oxalate,500 g,1,ขวด,chemical,1,
,Ammonium  dihydrogenphosphate,500 g,1,ขวด,chemical,1,
,Ammonium  thiocyanate,500 g,1,ขวด,chemical,1,
,Ammonium  fluoride,500 g,2,ขวด,chemical,1,
,Ammonium  sulphate,500 g,1,ขวด,chemical,1,
,Anthrone,500 g,1,ขวด,chemical,1,
,Arsenic  trioxide,500 g,1,ขวด,chemical,1,
,Ascorbic  acid   (Vitamin  C),500 g,2,ขวด,chemical,1,
,4-Aminobenzamidine  dihydrocholride 9,500 g,1,ขวด,chemical,1,
,Agarose powder,25 g,1,ขวด,chemical,1,
,Benedic’s  solution,450 ml,2,ขวด,chemical,1,
,6-Benzylaminopurine  99%,500 g,1,ขวด,chemical,1,
,Barium  chloride,500 g,1,ขวด,chemical,1,
,Benzoic  acid,500 g,1,ขวด,chemical,1,
,Borax,500 g,7,ขวด,chemical,1,
,Calcium  carbonate,500 g,2,ขวด,chemical,1,
,Calcium  chloride,500 g,1,ขวด,chemical,1,
,Calcium  phosphate,500 g,1,ขวด,chemical,1,
,Calcium  ozalate  monohydrate,500 g,1,ขวด,chemical,1,
,Chitosan,500 g,1,ขวด,chemical,1,
,Creatine,500 g,1,ขวด,chemical,1,
,Copper  (II)  acetate  ,500 g,1,ขวด,chemical,1,
,Copper  (II)  sulphate,500 g,4,ขวด,chemical,1,
,Chromium  trioxide,500 g,1,ขวด,chemical,1,
,Cetyltrimethyl ammonium  bromide  99%,500 g,1,ขวด,chemical,1,
,Clove  oil,100 ml,1,ขวด,chemical,1,
,Citric  acid,2.5 L,1,ขวด,chemical,1,
,Cholestrerol,100 g,1,ขวด,chemical,1,
,Carbonic  acid,100 g,1,ขวด,chemical,1,
,Chlorofrom,2.5 L,1,ขวด,chemical,1,
,Chloral hydrate,500 g,2,ขวด,chemical,1,
,Diethyl ether,2.5 L,2,ขวด,chemical,1,
,Dimethylmalic  anhydride,500 g,1,ขวด,chemical,1,
,2-4-Dichlorophenoxyacetic  acid  99%,500 g,1,ขวด,chemical,1,
,4-Dimethylamino  benzaldehyde,500 g,1,ขวด,chemical,1,
,Ethyl alcohol  95%,18 L,5,ถัง,chemical,1,
,"Ferric  sodium  salt,trihydrate  98%",500 g,1,ขวด,chemical,1,
,Formaldehyde  40%,20 L,1,ถัง,chemical,1,
,Formaldehyde  40%,2.5 L,1,ขวด,chemical,1,
,D - Fructose,500 g,4,ขวด,chemical,1,
,Formic acid,2.5 L,4,ขวด,chemical,1,
,Grelatin  powder,500 g,3,ขวด,chemical,1,
,Glycine,500 g,1,ขวด,chemical,1,
,Glycerine,25 Kg,1,ถัง,chemical,1,
,Glycerine,2.5 L,1,ขวด,chemical,1,
,D - Glucose,500 g,1,ขวด,chemical,1,
,Hard  Paraffin,1 kg,4,แพ็ค,chemical,1,
,Hexane,2.5 L,1,ขวด,chemical,1,
,Hydrogen  peroxide 35%,2.5 L,6,ขวด,chemical,1,
,Hydrogen  peroxide  30%,2.5 L,1,ขวด,chemical,1,
,Hydrochloric  acid,2.5 L,3,ขวด,chemical,1,
,Iron  (II)  sulphate,500 g,1,ขวด,chemical,1,
,"Iron  (II)  sulphate,Ferrous  sulfate",500 g,1,ขวด,chemical,1,
,3-Indolylacetric  acid,500 g,1,ขวด,chemical,1,
,Indole-3  butyric  acid,500 g,1,ขวด,chemical,1,
,Lithiumsulfate-monohydrate,500 g,1,ขวด,chemical,1,
,Magnesium  chloride,500 g,1,ขวด,chemical,1,
,Magnesium  sulphate,500 g,1,ขวด,chemical,1,
,Maganese  (II)  sulphate,500 g,1,ขวด,chemical,1,
,Maganese  dioxide  precipitated,500 g,1,ขวด,chemical,1,
,Mercuric chloride,100 g,1,ขวด,chemical,1,
,Microscopy  Immersion,100 ml,2,ขวด,chemical,1,
,Manganese  (II)  sulphate  monohydrate,500 g,1,ขวด,chemical,1,
,Methanol,2.5 L,3,ขวด,chemical,1,
,3-Methyl-1-butanol,2.5 L,1,ขวด,chemical,1,
,Mentol,250 g,2,ขวด,chemical,1,
,Nicotinic  acid,500 g,1,ขวด,chemical,1,
,Nitric  acid  69.0-70.0%,2.5 L,1,ขวด,chemical,1,
,Potassium  chloride,500 g,1,ขวด,chemical,1,
,Potassium  hexacyanoferrate  (II),500 g,1,ขวด,chemical,1,
,Potassium  dichromate,500 g,1,ขวด,chemical,1,
,Potassium  iodide,500 g,1,ขวด,chemical,1,
,Potassium  chloride  ,500 g,1,ขวด,chemical,1,
,Protassium  chromate,500 g,1,ขวด,chemical,1,
,Potassium  Bromide,500 g,1,ขวด,chemical,1,
,Potassium  tatrate,500 g,1,ขวด,chemical,1,
